screen_id,actual_png,prompt_wireframe_png,comparison_png,width,height,mean_abs_diff,rms_diff,max_delta,actual_nonblack_ratio,wireframe_nonblack_ratio
ai-action-indicator,RiskyStars.Client/Screenshots/Actual/ai-action-indicator.png,RiskyStars.Client/Wireframes/PromptWireframes/ai-action-indicator.png,RiskyStars.Client/Screenshots/Comparisons/ai-action-indicator-compare.png,1536,832,11.6891,29.3480,251,0.2222,0.4211
ai-visualization-window,RiskyStars.Client/Screenshots/Actual/ai-visualization-window.png,RiskyStars.Client/Wireframes/PromptWireframes/ai-visualization-window.png,RiskyStars.Client/Screenshots/Comparisons/ai-visualization-window-compare.png,1536,832,11.5693,28.3757,250,0.2529,0.4084
combat-event-dialog,RiskyStars.Client/Screenshots/Actual/combat-event-dialog.png,RiskyStars.Client/Wireframes/PromptWireframes/combat-event-dialog.png,RiskyStars.Client/Screenshots/Comparisons/combat-event-dialog-compare.png,1536,832,40.1267,78.4441,253,0.4012,0.1885
combat-hud-overlay,RiskyStars.Client/Screenshots/Actual/combat-hud-overlay.png,RiskyStars.Client/Wireframes/PromptWireframes/combat-hud-overlay.png,RiskyStars.Client/Screenshots/Comparisons/combat-hud-overlay-compare.png,1536,832,8.8439,20.5918,211,0.0358,0.3952
combat-screen,RiskyStars.Client/Screenshots/Actual/combat-screen.png,RiskyStars.Client/Wireframes/PromptWireframes/combat-screen.png,RiskyStars.Client/Screenshots/Comparisons/combat-screen-compare.png,1536,832,8.8930,20.6480,211,0.0358,0.3950
connection-screen,RiskyStars.Client/Screenshots/Actual/connection-screen.png,RiskyStars.Client/Wireframes/PromptWireframes/connection-screen.png,RiskyStars.Client/Screenshots/Comparisons/connection-screen-compare.png,1536,832,9.5392,24.5579,248,0.1492,0.0303
context-menu-manager,RiskyStars.Client/Screenshots/Actual/context-menu-manager.png,RiskyStars.Client/Wireframes/PromptWireframes/context-menu-manager.png,RiskyStars.Client/Screenshots/Comparisons/context-menu-manager-compare.png,1536,832,14.0253,30.3725,250,0.6881,0.4546
continent-zoom-window,RiskyStars.Client/Screenshots/Actual/continent-zoom-window.png,RiskyStars.Client/Wireframes/PromptWireframes/continent-zoom-window.png,RiskyStars.Client/Screenshots/Comparisons/continent-zoom-window-compare.png,1536,832,16.0130,35.5569,250,0.2921,0.4005
create-lobby,RiskyStars.Client/Screenshots/Actual/create-lobby.png,RiskyStars.Client/Wireframes/PromptWireframes/create-lobby.png,RiskyStars.Client/Screenshots/Comparisons/create-lobby-compare.png,1536,832,9.6393,23.0156,248,0.1262,0.0315
debug-info-window,RiskyStars.Client/Screenshots/Actual/debug-info-window.png,RiskyStars.Client/Wireframes/PromptWireframes/debug-info-window.png,RiskyStars.Client/Screenshots/Comparisons/debug-info-window-compare.png,1536,832,12.4436,29.0427,250,0.2658,0.4111
dialog-manager,RiskyStars.Client/Screenshots/Actual/dialog-manager.png,RiskyStars.Client/Wireframes/PromptWireframes/dialog-manager.png,RiskyStars.Client/Screenshots/Comparisons/dialog-manager-compare.png,1536,832,26.0177,56.0803,253,0.3228,0.1864
encyclopedia-window,RiskyStars.Client/Screenshots/Actual/encyclopedia-window.png,RiskyStars.Client/Wireframes/PromptWireframes/encyclopedia-window.png,RiskyStars.Client/Screenshots/Comparisons/encyclopedia-window-compare.png,1536,832,12.7811,28.9406,250,0.3170,0.4107
game-mode-selector,RiskyStars.Client/Screenshots/Actual/game-mode-selector.png,RiskyStars.Client/Wireframes/PromptWireframes/game-mode-selector.png,RiskyStars.Client/Screenshots/Comparisons/game-mode-selector-compare.png,1536,832,9.4398,23.3239,248,0.1652,0.0292
gameplay-hud-legend,RiskyStars.Client/Screenshots/Actual/gameplay-hud-legend.png,RiskyStars.Client/Wireframes/PromptWireframes/gameplay-hud-legend.png,RiskyStars.Client/Screenshots/Comparisons/gameplay-hud-legend-compare.png,1536,832,11.4754,30.0032,255,0.2371,0.4496
gameplay-hud-top-bar,RiskyStars.Client/Screenshots/Actual/gameplay-hud-top-bar.png,RiskyStars.Client/Wireframes/PromptWireframes/gameplay-hud-top-bar.png,RiskyStars.Client/Screenshots/Comparisons/gameplay-hud-top-bar-compare.png,1536,832,13.3558,32.1087,255,0.2371,0.3939
legacy-player-dashboard,RiskyStars.Client/Screenshots/Actual/legacy-player-dashboard.png,RiskyStars.Client/Wireframes/PromptWireframes/legacy-player-dashboard.png,RiskyStars.Client/Screenshots/Comparisons/legacy-player-dashboard-compare.png,1536,832,13.1871,31.0999,250,0.2850,0.4093
lobby-browser,RiskyStars.Client/Screenshots/Actual/lobby-browser.png,RiskyStars.Client/Wireframes/PromptWireframes/lobby-browser.png,RiskyStars.Client/Screenshots/Comparisons/lobby-browser-compare.png,1536,832,9.1500,23.6785,248,0.0926,0.0320
main-menu,RiskyStars.Client/Screenshots/Actual/main-menu.png,RiskyStars.Client/Wireframes/PromptWireframes/main-menu.png,RiskyStars.Client/Screenshots/Comparisons/main-menu-compare.png,1536,832,8.0139,22.2725,248,0.1500,0.0692
main-menu-connecting,RiskyStars.Client/Screenshots/Actual/main-menu-connecting.png,RiskyStars.Client/Wireframes/PromptWireframes/main-menu-connecting.png,RiskyStars.Client/Screenshots/Comparisons/main-menu-connecting-compare.png,1536,832,9.0316,22.5462,250,0.1316,0.0294
main-menu-settings,RiskyStars.Client/Screenshots/Actual/main-menu-settings.png,RiskyStars.Client/Wireframes/PromptWireframes/main-menu-settings.png,RiskyStars.Client/Screenshots/Comparisons/main-menu-settings-compare.png,1536,832,9.4848,24.6222,248,0.1071,0.0318
multiplayer-lobby,RiskyStars.Client/Screenshots/Actual/multiplayer-lobby.png,RiskyStars.Client/Wireframes/PromptWireframes/multiplayer-lobby.png,RiskyStars.Client/Screenshots/Comparisons/multiplayer-lobby-compare.png,1536,832,12.0518,28.4882,248,0.2399,0.0331
player-dashboard-window,RiskyStars.Client/Screenshots/Actual/player-dashboard-window.png,RiskyStars.Client/Wireframes/PromptWireframes/player-dashboard-window.png,RiskyStars.Client/Screenshots/Comparisons/player-dashboard-window-compare.png,1536,832,13.0086,30.8413,250,0.2850,0.4101
server-status-indicator,RiskyStars.Client/Screenshots/Actual/server-status-indicator.png,RiskyStars.Client/Wireframes/PromptWireframes/server-status-indicator.png,RiskyStars.Client/Screenshots/Comparisons/server-status-indicator-compare.png,1536,832,11.5356,29.2683,255,0.2371,0.3940
settings-window,RiskyStars.Client/Screenshots/Actual/settings-window.png,RiskyStars.Client/Wireframes/PromptWireframes/settings-window.png,RiskyStars.Client/Screenshots/Comparisons/settings-window-compare.png,1536,832,12.2146,30.2097,250,0.2898,0.4091
side-panel-container,RiskyStars.Client/Screenshots/Actual/side-panel-container.png,RiskyStars.Client/Wireframes/PromptWireframes/side-panel-container.png,RiskyStars.Client/Screenshots/Comparisons/side-panel-container-compare.png,1536,832,13.9610,33.0401,255,0.2371,0.4507
single-player-lobby,RiskyStars.Client/Screenshots/Actual/single-player-lobby.png,RiskyStars.Client/Wireframes/PromptWireframes/single-player-lobby.png,RiskyStars.Client/Screenshots/Comparisons/single-player-lobby-compare.png,1536,832,16.5370,32.4476,248,0.3719,0.0334
tutorial-mode-window,RiskyStars.Client/Screenshots/Actual/tutorial-mode-window.png,RiskyStars.Client/Wireframes/PromptWireframes/tutorial-mode-window.png,RiskyStars.Client/Screenshots/Comparisons/tutorial-mode-window-compare.png,1536,832,13.8438,30.4279,250,0.3929,0.4099
ui-scale-window,RiskyStars.Client/Screenshots/Actual/ui-scale-window.png,RiskyStars.Client/Wireframes/PromptWireframes/ui-scale-window.png,RiskyStars.Client/Screenshots/Comparisons/ui-scale-window-compare.png,1536,832,11.2348,27.8243,250,0.2451,0.4059
